Flight Information:
Launch Date:            	          	                        	Saturday, 14 October 2023	   	                   	Launch Time: 	           	           	20:35:16	      	End of Ascent:	     	         	01:43:32
Station name:           	          	                        	                         	   	                   	Serialnumber:	           	           	22060835
Ground Values:
Pressure:               	          	                        	816.5 hPa                	   	                   	Temperature: 	           	           	19.5 °C 	      	Humidity:     	     	         	23 %
Wind direction:         	          	                        	199 °                    	   	                   	Wind speed:  	           	           	2 m/s   	      	Cloud group:  	     	         	9////
Position:
Longitude:              	          	                        	-106.043 °               	   	                   	Latitude:    	           	           	34.986 °	      	Altitude:     	     	         	1902 m
Staff:
Company:                	          	                        	
Operator:               	          	                        	                         	   	                   	
Events:
Highest Point:          	          	                        	6.9 hPa                  	   	                   	33427 m
Tropopauses:            	          	                        	1.: 95.1 hPa             	   	                   	             	           	           	
Max Winds:              	          	                        	1.: 150.4 hPa            	   	                   	2.: 7.7 hPa  	           	           	
Remarks:

Profile Data:
Time                    	UTC Time  	P                       	T                        	Hu 	Ws                 	Wd           	Long.      	Lat.       	Alt     	Geopot	RI            	Dewp.	Elevation	Azimuth 	Range 	D
[sec]                   	[HH:mm:ss]	[hPa]                   	[°C]                     	[%]	[m/s]              	[°]          	[°]        	[°]        	[m]     	[m]   	              	[°C] 	[°]      	[°]     	[m]   	[kg/m3]
0                       	20:35:16  	816.5                   	19.5                     	23 	2.0                	199          	-106.042907	34.986493  	1902    	1902  	217.507       	-2.1 	35.0     	360     	0     	0.972133
1                       	20:35:17  	815.4                   	17.9                     	22 	0.7                	328          	-106.042908	34.986492  	1925    	1924  	218.408       	-3.8 	89.3     	326     	23    	0.976235
2                       	20:35:18  	814.3                   	17.8                     	22 	0.7                	328          	-106.042910	34.986491  	1947    	1945  	218.132       	-4.2 	89.6     	285     	45    	0.975101
3                       	20:35:19  	813.3                   	17.8                     	22 	0.7                	328          	-106.042911	34.986490  	1956    	1953  	217.899       	-4.4 	89.5     	262     	53    	0.974114
4                       	20:35:20  	812.2                   	17.6                     	22 	0.7                	328          	-106.042913	34.986488  	1961    	1959  	217.707       	-4.3 	89.4     	251     	59    	0.973178
5                       	20:35:21  	811.1                   	17.5                     	23 	0.7                	326          	-106.042915	34.986487  	1967    	1965  	217.542       	-4.0 	89.3     	246     	65    	0.972307
6                       	20:35:22  	810.0                   	17.4                     	23 	1.3                	317          	-106.042916	34.986486  	1973    	1970  	217.332       	-3.8 	89.2     	242     	71    	0.971262
7                       	20:35:23  	809.4                   	17.4                     	24 	3.7                	309          	-106.042918	34.986485  	1979    	1976  	217.189       	-3.6 	89.1     	239     	77    	0.970538
8                       	20:35:24  	808.7                   	17.4                     	24 	3.7                	309          	-106.042919	34.986483  	1985    	1982  	217.047       	-3.4 	89.0     	238     	82    	0.969822
